! ASCII file written by view2d, an IDL viewer for 2D model NetCDF output files
! This data was written the Mon Jul  8 15:31:18 2002 from NetCDF file /home/simonc/socrates/arch/ref/uarsclim_3yr.nc
! Manually added text: 
!
!      Monthly mean of zonally averaged water vapor mixing ratios (ppm)
!
! Biblio reference: Randel, Wu,Russell, Roche and Waters,
! Seasonal cycles and QBO variations in stratospheric CH4 and H2O observed
!    in UARS HALOE data, J. Atmos. Sci. vol. 55, pp. 163-185, 1998.
! Notice: 1) HALOE data is augmented in polar regions by MLS
!         2) Original data found at http://haloedata.larc.nasa.gov/CLIMO/uarsclim2.html
!=========================================================================================
       h2o (vmr)  <- name (units) of the variable
              33  <- number of data lines
              13  <- number of data columns (incl. coord. column)
            17.0  <- log-p altitude (km)
           89.33  <- pressure (hPa)
!=========================================================================================
! latitudes        time        time        time        time        time        time        time        time        time        time        time        time 
!   degrees  Jan/15/1996 Feb/15/1996 Mar/15/1996 Apr/15/1996 May/15/1996 Jun/15/1996 Jul/15/1996 Aug/15/1996 Sep/15/1996 Oct/15/1996 Nov/15/1996 Dec/15/1996
!-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------
        -80.  3.9633e-06  3.9311e-06  3.8466e-06  3.9559e-06  4.0813e-06  3.8427e-06  3.2362e-06  2.6026e-06  2.7290e-06  2.3137e-06  3.3170e-06  3.5297e-06
        -75.  3.9485e-06  3.9264e-06  3.8410e-06  3.9394e-06  4.0622e-06  3.8471e-06  3.2860e-06  2.6881e-06  2.6991e-06  2.3914e-06  3.3201e-06  3.5762e-06
        -70.  3.9082e-06  3.9259e-06  3.8335e-06  3.8899e-06  3.9975e-06  3.8520e-06  3.4311e-06  2.9430e-06  2.8071e-06  2.6647e-06  3.3056e-06  3.6666e-06
        -65.  3.8996e-06  3.9356e-06  3.8268e-06  3.8152e-06  3.8956e-06  3.8493e-06  3.6325e-06  3.3061e-06  3.1212e-06  3.0746e-06  3.4210e-06  3.7627e-06
        -60.  3.9321e-06  3.9347e-06  3.8107e-06  3.7393e-06  3.7931e-06  3.8290e-06  3.8032e-06  3.6443e-06  3.5598e-06  3.4859e-06  3.6232e-06  3.8263e-06
        -55.  3.9242e-06  3.8961e-06  3.7783e-06  3.6907e-06  3.7241e-06  3.7915e-06  3.8682e-06  3.8370e-06  3.8258e-06  3.7297e-06  3.7460e-06  3.8479e-06
        -50.  3.8855e-06  3.8293e-06  3.7171e-06  3.6332e-06  3.6483e-06  3.7442e-06  3.8517e-06  3.8897e-06  3.8674e-06  3.8195e-06  3.8206e-06  3.8646e-06
        -45.  3.8436e-06  3.7473e-06  3.6299e-06  3.5621e-06  3.5839e-06  3.6723e-06  3.7644e-06  3.8137e-06  3.8242e-06  3.8321e-06  3.8574e-06  3.8759e-06
        -40.  3.8135e-06  3.6703e-06  3.5274e-06  3.4611e-06  3.4960e-06  3.5916e-06  3.6844e-06  3.7426e-06  3.7817e-06  3.8293e-06  3.8793e-06  3.8875e-06
        -35.  3.7814e-06  3.5892e-06  3.4092e-06  3.3337e-06  3.3857e-06  3.5100e-06  3.6289e-06  3.7080e-06  3.7674e-06  3.8354e-06  3.8965e-06  3.8929e-06
