! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Fri Sep 22 17:59:21 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v5s23a_30yr.small.nc
       h2o (vmr)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)         40.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    1.38e-02       0.000  1.0132e+03
          1.    9.84e-03       1.209  8.7836e+02
          2.    6.72e-03       2.392  7.6143e+02
          3.    3.85e-03       3.545  6.6007e+02
          4.    2.09e-03       4.664  5.7220e+02
          5.    1.05e-03       5.750  4.9603e+02
          6.    4.98e-04       6.805  4.3000e+02
          7.    2.49e-04       7.829  3.7275e+02
          8.    1.27e-04       8.824  3.2313e+02
          9.    6.79e-05       9.795  2.8012e+02
         10.    3.89e-05      10.743  2.4283e+02
         11.    2.44e-05      11.673  2.1050e+02
         12.    1.70e-05      12.588  1.8248e+02
         13.    1.33e-05      13.493  1.5819e+02
         14.    1.15e-05      14.391  1.3713e+02
         15.    1.04e-05      15.285  1.1887e+02
         16.    9.02e-06      16.178  1.0305e+02
         17.    7.52e-06      17.071  8.9331e+01
         18.    6.28e-06      17.965  7.7439e+01
         19.    5.36e-06      18.861  6.7130e+01
         20.    4.75e-06      19.760  5.8194e+01
         21.    4.36e-06      20.661  5.0447e+01
         22.    4.13e-06      21.565  4.3731e+01
         23.    4.02e-06      22.472  3.7910e+01
         24.    3.98e-06      23.382  3.2863e+01
         25.    3.98e-06      24.296  2.8488e+01
         26.    4.02e-06      25.214  2.4696e+01
         27.    4.09e-06      26.136  2.1408e+01
         28.    4.17e-06      27.063  1.8558e+01
         29.    4.27e-06      27.995  1.6088e+01
         30.    4.37e-06      28.933  1.3946e+01
         31.    4.48e-06      29.876  1.2090e+01
         32.    4.60e-06      30.825  1.0480e+01
         33.    4.72e-06      31.780  9.0851e+00
         34.    4.84e-06      32.743  7.8756e+00
         35.    4.96e-06      33.714  6.8272e+00
         36.    5.08e-06      34.694  5.9184e+00
         37.    5.20e-06      35.683  5.1305e+00
         38.    5.31e-06      36.684  4.4475e+00
         39.    5.42e-06      37.695  3.8555e+00
         40.    5.53e-06      38.719  3.3422e+00
         41.    5.62e-06      39.755  2.8973e+00
         42.    5.71e-06      40.804  2.5116e+00
         43.    5.79e-06      41.864  2.1772e+00
         44.    5.85e-06      42.936  1.8874e+00
         45.    5.91e-06      44.016  1.6362e+00
         46.    5.95e-06      45.104  1.4183e+00
         47.    5.98e-06      46.196  1.2295e+00
         48.    6.00e-06      47.292  1.0659e+00
         49.    6.01e-06      48.388  9.2396e-01
         50.    6.01e-06      49.483  8.0096e-01
         51.    6.00e-06      50.576  6.9434e-01
         52.    5.99e-06      51.664  6.0191e-01
         53.    5.98e-06      52.746  5.2178e-01
         54.    5.95e-06      53.821  4.5232e-01
         55.    5.92e-06      54.888  3.9211e-01
         56.    5.89e-06      55.946  3.3991e-01
         57.    5.84e-06      56.995  2.9466e-01
         58.    5.79e-06      58.033  2.5543e-01
         59.    5.73e-06      59.061  2.2143e-01
         60.    5.67e-06      60.079  1.9195e-01
         61.    5.59e-06      61.085  1.6640e-01
         62.    5.50e-06      62.081  1.4425e-01
         63.    5.41e-06      63.065  1.2504e-01
         64.    5.31e-06      64.039  1.0840e-01
         65.    5.20e-06      65.002  9.3968e-02
         66.    5.08e-06      65.955  8.1459e-02
         67.    4.96e-06      66.897  7.0615e-02
         68.    4.84e-06      67.829  6.1215e-02
         69.    4.71e-06      68.751  5.3066e-02
         70.    4.58e-06      69.663  4.6001e-02
         71.    4.44e-06      70.566  3.9878e-02
         72.    4.31e-06      71.459  3.4569e-02
         73.    4.17e-06      72.343  2.9967e-02
         74.    4.04e-06      73.219  2.5978e-02
         75.    3.90e-06      74.087  2.2520e-02
         76.    3.77e-06      74.948  1.9522e-02
         77.    3.64e-06      75.802  1.6923e-02
         78.    3.51e-06      76.650  1.4670e-02
         79.    3.37e-06      77.492  1.2717e-02
         80.    3.23e-06      78.329  1.1024e-02
         81.    3.07e-06      79.161  9.5567e-03
         82.    2.90e-06      79.989  8.2845e-03
         83.    2.72e-06      80.812  7.1817e-03
         84.    2.55e-06      81.631  6.2256e-03
         85.    2.40e-06      82.444  5.3969e-03
         86.    2.25e-06      83.251  4.6784e-03
         87.    2.12e-06      84.052  4.0556e-03
         88.    1.99e-06      84.849  3.5157e-03
         89.    1.88e-06      85.640  3.0477e-03
         90.    1.77e-06      86.426  2.6420e-03
         91.    1.67e-06      87.205  2.2903e-03
         92.    1.58e-06      87.979  1.9854e-03
         93.    1.50e-06      88.747  1.7211e-03
         94.    1.42e-06      89.509  1.4920e-03
         95.    1.35e-06      90.266  1.2934e-03
         96.    1.28e-06      91.017  1.1212e-03
         97.    1.22e-06      91.763  9.7193e-04
         98.    1.16e-06      92.505  8.4255e-04
         99.    1.10e-06      93.244  7.3038e-04
        100.    1.05e-06      93.983  6.3315e-04
        101.    1.00e-06      94.719  5.4887e-04
        102.    9.53e-07      95.455  4.7580e-04
        103.    9.09e-07      96.192  4.1246e-04
        104.    8.66e-07      96.934  3.5755e-04
        105.    8.26e-07      97.683  3.0996e-04
        106.    7.87e-07      98.443  2.6869e-04
        107.    7.50e-07      99.218  2.3292e-04
        108.    7.15e-07     100.016  2.0192e-04
        109.    6.81e-07     100.843  1.7504e-04
        110.    6.49e-07     101.706  1.5174e-04
        111.    6.20e-07     102.612  1.3154e-04
        112.    5.94e-07     103.570  1.1403e-04
        113.    5.73e-07     104.586  9.8847e-05
        114.    5.57e-07     105.662  8.5688e-05
        115.    5.47e-07     106.797  7.4281e-05
        116.    5.43e-07     107.991  6.4393e-05
        117.    5.46e-07     109.242  5.5821e-05
        118.    5.54e-07     110.546  4.8390e-05
        119.    5.69e-07     111.895  4.1948e-05
        120.    5.90e-07     113.282  3.6364e-05

!=========================================================================================

          10/18/2003  | <- simulation date of this field, mm/dd/yy 

