! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Fri Sep 22 18:03:19 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v5s23a_30yr.small.nc
      kzz (m2/s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)         40.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    1.33e+01       0.000  1.0132e+03
          1.    1.28e+01       1.209  8.7836e+02
          2.    1.20e+01       2.392  7.6143e+02
          3.    1.10e+01       3.545  6.6007e+02
          4.    9.99e+00       4.664  5.7220e+02
          5.    8.99e+00       5.750  4.9603e+02
          6.    7.98e+00       6.805  4.3000e+02
          7.    6.98e+00       7.829  3.7275e+02
          8.    5.98e+00       8.824  3.2313e+02
          9.    4.98e+00       9.795  2.8012e+02
         10.    3.98e+00      10.743  2.4283e+02
         11.    2.99e+00      11.673  2.1050e+02
         12.    2.07e+00      12.588  1.8248e+02
         13.    1.31e+00      13.493  1.5819e+02
         14.    7.86e-01      14.391  1.3713e+02
         15.    5.19e-01      15.285  1.1887e+02
         16.    4.23e-01      16.178  1.0305e+02
         17.    4.20e-01      17.071  8.9331e+01
         18.    4.15e-01      17.965  7.7439e+01
         19.    4.09e-01      18.861  6.7130e+01
         20.    4.05e-01      19.760  5.8194e+01
         21.    4.02e-01      20.661  5.0447e+01
         22.    4.01e-01      21.565  4.3731e+01
         23.    4.01e-01      22.472  3.7910e+01
         24.    4.02e-01      23.382  3.2863e+01
         25.    4.06e-01      24.296  2.8488e+01
         26.    4.16e-01      25.214  2.4696e+01
         27.    4.34e-01      26.136  2.1408e+01
         28.    4.66e-01      27.063  1.8558e+01
         29.    5.13e-01      27.995  1.6088e+01
         30.    5.76e-01      28.933  1.3946e+01
         31.    6.55e-01      29.876  1.2090e+01
         32.    7.44e-01      30.825  1.0480e+01
         33.    8.37e-01      31.780  9.0851e+00
         34.    9.30e-01      32.743  7.8756e+00
         35.    1.02e+00      33.714  6.8272e+00
         36.    1.09e+00      34.694  5.9184e+00
         37.    1.15e+00      35.683  5.1305e+00
         38.    1.21e+00      36.684  4.4475e+00
         39.    1.26e+00      37.695  3.8555e+00
         40.    1.31e+00      38.719  3.3422e+00
         41.    1.37e+00      39.755  2.8973e+00
         42.    1.43e+00      40.804  2.5116e+00
         43.    1.51e+00      41.864  2.1772e+00
         44.    1.61e+00      42.936  1.8874e+00
         45.    1.74e+00      44.016  1.6362e+00
         46.    1.88e+00      45.104  1.4183e+00
         47.    2.05e+00      46.196  1.2295e+00
         48.    2.24e+00      47.292  1.0659e+00
         49.    2.46e+00      48.388  9.2396e-01
         50.    2.71e+00      49.483  8.0096e-01
         51.    2.99e+00      50.576  6.9434e-01
         52.    3.31e+00      51.664  6.0191e-01
         53.    3.66e+00      52.746  5.2178e-01
         54.    4.06e+00      53.821  4.5232e-01
         55.    4.50e+00      54.888  3.9211e-01
         56.    4.99e+00      55.946  3.3991e-01
         57.    5.53e+00      56.995  2.9466e-01
         58.    6.14e+00      58.033  2.5543e-01
         59.    6.83e+00      59.061  2.2143e-01
         60.    7.60e+00      60.079  1.9195e-01
         61.    8.49e+00      61.085  1.6640e-01
         62.    9.51e+00      62.081  1.4425e-01
         63.    1.07e+01      63.065  1.2504e-01
         64.    1.21e+01      64.039  1.0840e-01
         65.    1.37e+01      65.002  9.3968e-02
         66.    1.56e+01      65.955  8.1459e-02
         67.    1.77e+01      66.897  7.0615e-02
         68.    2.02e+01      67.829  6.1215e-02
         69.    2.29e+01      68.751  5.3066e-02
         70.    2.60e+01      69.663  4.6001e-02
         71.    2.93e+01      70.566  3.9878e-02
         72.    3.30e+01      71.459  3.4569e-02
         73.    3.70e+01      72.343  2.9967e-02
         74.    4.15e+01      73.219  2.5978e-02
         75.    4.62e+01      74.087  2.2520e-02
         76.    5.14e+01      74.948  1.9522e-02
         77.    5.69e+01      75.802  1.6923e-02
         78.    6.26e+01      76.650  1.4670e-02
         79.    6.84e+01      77.492  1.2717e-02
         80.    7.43e+01      78.329  1.1024e-02
         81.    8.02e+01      79.161  9.5567e-03
         82.    8.58e+01      79.989  8.2845e-03
         83.    9.11e+01      80.812  7.1817e-03
         84.    9.62e+01      81.631  6.2256e-03
         85.    1.01e+02      82.444  5.3969e-03
         86.    1.05e+02      83.251  4.6784e-03
         87.    1.10e+02      84.052  4.0556e-03
         88.    1.14e+02      84.849  3.5157e-03
         89.    1.18e+02      85.640  3.0477e-03
         90.    1.22e+02      86.426  2.6420e-03
         91.    1.25e+02      87.205  2.2903e-03
         92.    1.29e+02      87.979  1.9854e-03
         93.    1.32e+02      88.747  1.7211e-03
         94.    1.35e+02      89.509  1.4920e-03
         95.    1.38e+02      90.266  1.2934e-03
         96.    1.40e+02      91.017  1.1212e-03
         97.    1.42e+02      91.763  9.7193e-04
         98.    1.43e+02      92.505  8.4255e-04
         99.    1.44e+02      93.244  7.3038e-04
        100.    1.44e+02      93.983  6.3315e-04
        101.    1.43e+02      94.719  5.4887e-04
        102.    1.42e+02      95.455  4.7580e-04
        103.    1.40e+02      96.192  4.1246e-04
        104.    1.37e+02      96.934  3.5755e-04
        105.    1.33e+02      97.683  3.0996e-04
        106.    1.28e+02      98.443  2.6869e-04
        107.    1.21e+02      99.218  2.3292e-04
        108.    1.13e+02     100.016  2.0192e-04
        109.    1.04e+02     100.843  1.7504e-04
        110.    9.23e+01     101.706  1.5174e-04
        111.    7.96e+01     102.612  1.3154e-04
        112.    6.61e+01     103.570  1.1403e-04
        113.    5.23e+01     104.586  9.8847e-05
        114.    3.94e+01     105.662  8.5688e-05
        115.    2.79e+01     106.797  7.4281e-05
        116.    1.85e+01     107.991  6.4393e-05
        117.    1.15e+01     109.242  5.5821e-05
        118.    6.76e+00     110.546  4.8390e-05
        119.    3.97e+00     111.895  4.1948e-05
        120.    2.85e+00     113.282  3.6364e-05

!=========================================================================================

          10/18/2003  | <- simulation date of this field, mm/dd/yy 

