Jan/ 2/1999  at ilat =        4  ;  ; run_1_1.5yr ; diur. avg

 z* (km) | T (K)  |   p  (mb)   | n (molec/cm3) | H(z) (km) | z (km)  |  dz (km)
--------------------------------------------------------------------------------
  0.     | 273.30 | 1013.000000 |  2.686e+19    |  8.199    |   0.000 | 0.000
  1.     | 267.43 |  878.147339 |  2.379e+19    |  8.023    |   1.159 | 1.159
  2.     | 241.07 |  761.246521 |  2.288e+19    |  7.232    |   2.248 | 1.090
  3.     | 233.68 |  659.907776 |  2.046e+19    |  7.010    |   3.266 | 1.017
  4.     | 226.95 |  572.059448 |  1.826e+19    |  6.809    |   4.253 | 0.987
  5.     | 220.77 |  495.905701 |  1.628e+19    |  6.623    |   5.212 | 0.959
  6.     | 215.08 |  429.889709 |  1.448e+19    |  6.452    |   6.146 | 0.934
  7.     | 209.98 |  372.661896 |  1.286e+19    |  6.299    |   7.057 | 0.911
  8.     | 205.73 |  323.052338 |  1.138e+19    |  6.172    |   7.948 | 0.891
  9.     | 207.59 |  280.046936 |  9.775e+18    |  6.228    |   8.833 | 0.886
 10.     | 210.49 |  242.766495 |  8.357e+18    |  6.315    |   9.729 | 0.896
 11.     | 211.18 |  210.448914 |  7.221e+18    |  6.335    |  10.633 | 0.904
 12.     | 213.18 |  182.433502 |  6.201e+18    |  6.395    |  11.542 | 0.909
 13.     | 214.97 |  158.147583 |  5.331e+18    |  6.449    |  12.460 | 0.917
 14.     | 216.05 |  137.094635 |  4.598e+18    |  6.482    |  13.383 | 0.924
 15.     | 216.75 |  118.844322 |  3.973e+18    |  6.503    |  14.311 | 0.927
 16.     | 217.40 |  103.023499 |  3.434e+18    |  6.522    |  15.241 | 0.930
 17.     | 218.01 |   89.308800 |  2.968e+18    |  6.540    |  16.174 | 0.933
 18.     | 218.66 |   77.419830 |  2.566e+18    |  6.560    |  17.110 | 0.936
 19.     | 219.47 |   67.113548 |  2.216e+18    |  6.584    |  18.049 | 0.939
 20.     | 220.42 |   58.179237 |  1.912e+18    |  6.613    |  18.991 | 0.943
 21.     | 221.46 |   50.434299 |  1.650e+18    |  6.644    |  19.938 | 0.947
 22.     | 222.63 |   43.720383 |  1.423e+18    |  6.679    |  20.890 | 0.952
 23.     | 223.98 |   37.900227 |  1.226e+18    |  6.719    |  21.847 | 0.957
 24.     | 225.54 |   32.854874 |  1.056e+18    |  6.766    |  22.810 | 0.963
 25.     | 227.32 |   28.481163 |  9.079e+17    |  6.819    |  23.780 | 0.970
 26.     | 229.28 |   24.689693 |  7.803e+17    |  6.878    |  24.759 | 0.978
 27.     | 231.35 |   21.402946 |  6.703e+17    |  6.941    |  25.746 | 0.987
 28.     | 233.51 |   18.553743 |  5.757e+17    |  7.005    |  26.742 | 0.996
 29.     | 235.74 |   16.083830 |  4.944e+17    |  7.072    |  27.748 | 1.006
 30.     | 238.07 |   13.942718 |  4.244e+17    |  7.142    |  28.763 | 1.015
 31.     | 240.57 |   12.086635 |  3.640e+17    |  7.217    |  29.788 | 1.026
 32.     | 243.29 |   10.477632 |  3.121e+17    |  7.299    |  30.825 | 1.037
 33.     | 246.24 |    9.082829 |  2.673e+17    |  7.387    |  31.874 | 1.049
 34.     | 249.44 |    7.873704 |  2.287e+17    |  7.483    |  32.936 | 1.062
 35.     | 252.89 |    6.825541 |  1.956e+17    |  7.587    |  34.013 | 1.076
 36.     | 256.58 |    5.916910 |  1.671e+17    |  7.697    |  35.105 | 1.092
 37.     | 260.56 |    5.129240 |  1.426e+17    |  7.817    |  36.213 | 1.108
 38.     | 264.75 |    4.446424 |  1.217e+17    |  7.943    |  37.338 | 1.126
 39.     | 269.04 |    3.854506 |  1.038e+17    |  8.071    |  38.482 | 1.144
 40.     | 273.07 |    3.341386 |  8.866e+16    |  8.192    |  39.644 | 1.162
 41.     | 276.51 |    2.896574 |  7.590e+16    |  8.295    |  40.822 | 1.178
 42.     | 279.30 |    2.510976 |  6.514e+16    |  8.379    |  42.013 | 1.191
 43.     | 281.36 |    2.176710 |  5.606e+16    |  8.441    |  43.214 | 1.201
 44.     | 282.79 |    1.886942 |  4.835e+16    |  8.484    |  44.423 | 1.209
 45.     | 283.59 |    1.635748 |  4.179e+16    |  8.508    |  45.636 | 1.214
 46.     | 283.77 |    1.417993 |  3.621e+16    |  8.513    |  46.852 | 1.216
 47.     | 283.35 |    1.229227 |  3.143e+16    |  8.500    |  48.067 | 1.215
 48.     | 282.32 |    1.065590 |  2.735e+16    |  8.470    |  49.280 | 1.212
 49.     | 280.81 |    0.923736 |  2.384e+16    |  8.424    |  50.486 | 1.207
 50.     | 278.97 |    0.800767 |  2.080e+16    |  8.369    |  51.686 | 1.200
 51.     | 276.97 |    0.694167 |  1.816e+16    |  8.309    |  52.877 | 1.191
 52.     | 274.83 |    0.601758 |  1.586e+16    |  8.245    |  54.060 | 1.182
 53.     | 272.44 |    0.521651 |  1.387e+16    |  8.173    |  55.232 | 1.173
 54.     | 269.93 |    0.452207 |  1.214e+16    |  8.098    |  56.394 | 1.162
 55.     | 266.85 |    0.392009 |  1.064e+16    |  8.005    |  57.545 | 1.150
 56.     | 263.86 |    0.339824 |  9.332e+15    |  7.916    |  58.682 | 1.137
 57.     | 260.69 |    0.294585 |  8.188e+15    |  7.821    |  59.806 | 1.124
 58.     | 257.23 |    0.255370 |  7.193e+15    |  7.717    |  60.916 | 1.110
 59.     | 253.34 |    0.221374 |  6.332e+15    |  7.600    |  62.010 | 1.094
 60.     | 248.96 |    0.191905 |  5.585e+15    |  7.469    |  63.086 | 1.076
 61.     | 244.26 |    0.166358 |  4.935e+15    |  7.328    |  64.143 | 1.057
 62.     | 239.59 |    0.144212 |  4.361e+15    |  7.188    |  65.180 | 1.037
 63.     | 235.13 |    0.125014 |  3.852e+15    |  7.054    |  66.197 | 1.017
 64.     | 230.82 |    0.108372 |  3.402e+15    |  6.925    |  67.196 | 0.998
 65.     | 226.56 |    0.093945 |  3.005e+15    |  6.797    |  68.176 | 0.980
 66.     | 222.29 |    0.081439 |  2.655e+15    |  6.669    |  69.138 | 0.962
 67.     | 218.04 |    0.070598 |  2.346e+15    |  6.541    |  70.081 | 0.944
 68.     | 213.82 |    0.061200 |  2.074e+15    |  6.415    |  71.007 | 0.925
 69.     | 209.65 |    0.053053 |  1.834e+15    |  6.290    |  71.914 | 0.907
 70.     | 205.53 |    0.045990 |  1.621e+15    |  6.166    |  72.804 | 0.890
 71.     | 201.45 |    0.039868 |  1.434e+15    |  6.043    |  73.676 | 0.872
 72.     | 197.39 |    0.034561 |  1.269e+15    |  5.922    |  74.530 | 0.855
 73.     | 193.32 |    0.029960 |  1.123e+15    |  5.800    |  75.368 | 0.837
 74.     | 189.25 |    0.025971 |  9.944e+14    |  5.677    |  76.187 | 0.820
 75.     | 185.14 |    0.022514 |  8.811e+14    |  5.554    |  76.990 | 0.802
 76.     | 181.02 |    0.019517 |  7.812e+14    |  5.431    |  77.774 | 0.785
 77.     | 176.90 |    0.016919 |  6.930e+14    |  5.307    |  78.541 | 0.767
 78.     | 172.78 |    0.014667 |  6.151e+14    |  5.183    |  79.291 | 0.749
 79.     | 168.67 |    0.012714 |  5.462e+14    |  5.060    |  80.022 | 0.732
 80.     | 164.57 |    0.011022 |  4.853e+14    |  4.937    |  80.736 | 0.714
 81.     | 160.46 |    0.009554 |  4.314e+14    |  4.814    |  81.433 | 0.696
 82.     | 156.33 |    0.008282 |  3.839e+14    |  4.690    |  82.112 | 0.679
