! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:44:12 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
    ho2-lt12 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    5.17e+01       0.000  1.0132e+03
          1.    7.23e+01       1.253  8.7836e+02
          2.    9.10e+01       2.474  7.6143e+02
          3.    1.05e+02       3.665  6.6007e+02
          4.    1.18e+02       4.825  5.7220e+02
          5.    1.30e+02       5.956  4.9603e+02
          6.    1.44e+02       7.061  4.3000e+02
          7.    1.59e+02       8.137  3.7275e+02
          8.    1.69e+02       9.185  3.2313e+02
          9.    1.64e+02      10.204  2.8012e+02
         10.    1.43e+02      11.192  2.4283e+02
         11.    1.14e+02      12.149  2.1050e+02
         12.    8.85e+01      13.077  1.8248e+02
         13.    7.04e+01      13.977  1.5819e+02
         14.    5.88e+01      14.853  1.3713e+02
         15.    5.41e+01      15.712  1.1887e+02
         16.    6.62e+01      16.563  1.0305e+02
         17.    8.12e+01      17.415  8.9331e+01
         18.    9.56e+01      18.271  7.7439e+01
         19.    1.06e+02      19.132  6.7130e+01
         20.    1.12e+02      20.002  5.8194e+01
         21.    1.12e+02      20.882  5.0447e+01
         22.    1.08e+02      21.773  4.3731e+01
         23.    9.99e+01      22.674  3.7910e+01
         24.    9.07e+01      23.585  3.2863e+01
         25.    8.10e+01      24.507  2.8488e+01
         26.    7.14e+01      25.439  2.4696e+01
         27.    6.22e+01      26.384  2.1408e+01
         28.    5.39e+01      27.340  1.8558e+01
         29.    4.65e+01      28.307  1.6088e+01
         30.    4.02e+01      29.286  1.3946e+01
         31.    3.48e+01      30.275  1.2090e+01
         32.    3.04e+01      31.274  1.0480e+01
         33.    2.68e+01      32.283  9.0851e+00
         34.    2.38e+01      33.300  7.8756e+00
         35.    2.13e+01      34.328  6.8272e+00
         36.    1.91e+01      35.366  5.9184e+00
         37.    1.71e+01      36.414  5.1305e+00
         38.    1.50e+01      37.474  4.4475e+00
         39.    1.30e+01      38.544  3.8555e+00
         40.    1.12e+01      39.628  3.3422e+00
