! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:34:48 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
     o3-lt24 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    8.49e+06       0.000  1.0132e+03
          1.    4.86e+07       1.253  8.7836e+02
          2.    9.72e+07       2.474  7.6143e+02
          3.    1.29e+08       3.665  6.6007e+02
          4.    1.46e+08       4.825  5.7220e+02
          5.    1.39e+08       5.956  4.9603e+02
          6.    9.26e+07       7.061  4.3000e+02
          7.    5.85e+07       8.137  3.7275e+02
          8.    5.90e+07       9.185  3.2313e+02
          9.    1.00e+08      10.204  2.8012e+02
         10.    1.93e+08      11.192  2.4283e+02
         11.    2.48e+08      12.149  2.1050e+02
         12.    2.61e+08      13.077  1.8248e+02
         13.    2.71e+08      13.977  1.5819e+02
         14.    2.84e+08      14.853  1.3713e+02
         15.    3.02e+08      15.712  1.1887e+02
         16.    1.14e+09      16.563  1.0305e+02
         17.    1.54e+09      17.415  8.9331e+01
         18.    1.95e+09      18.271  7.7439e+01
         19.    2.11e+09      19.132  6.7130e+01
         20.    2.04e+09      20.002  5.8194e+01
         21.    1.89e+09      20.882  5.0447e+01
         22.    1.69e+09      21.773  4.3731e+01
         23.    1.43e+09      22.674  3.7910e+01
         24.    1.15e+09      23.585  3.2863e+01
         25.    8.82e+08      24.507  2.8488e+01
         26.    6.62e+08      25.439  2.4696e+01
         27.    4.94e+08      26.384  2.1408e+01
         28.    3.69e+08      27.340  1.8558e+01
         29.    2.77e+08      28.307  1.6088e+01
         30.    2.08e+08      29.286  1.3946e+01
         31.    1.58e+08      30.275  1.2090e+01
         32.    1.22e+08      31.274  1.0480e+01
         33.    9.73e+07      32.283  9.0851e+00
         34.    8.08e+07      33.300  7.8756e+00
         35.    6.99e+07      34.328  6.8272e+00
         36.    6.32e+07      35.366  5.9184e+00
         37.    5.93e+07      36.414  5.1305e+00
         38.    5.75e+07      37.474  4.4475e+00
         39.    5.65e+07      38.544  3.8555e+00
         40.    5.54e+07      39.628  3.3422e+00
         41.    5.86e+07      40.725  2.8973e+00
         42.    6.49e+07      41.831  2.5116e+00
         43.    7.37e+07      42.946  2.1772e+00
         44.    8.45e+07      44.068  1.8874e+00
         45.    9.69e+07      45.194  1.6362e+00
         46.    1.10e+08      46.324  1.4183e+00
         47.    1.24e+08      47.455  1.2295e+00
         48.    1.39e+08      48.585  1.0659e+00
         49.    1.53e+08      49.712  9.2396e-01
         50.    1.65e+08      50.836  8.0096e-01
         51.    1.68e+08      51.953  6.9434e-01
         52.    1.52e+08      53.063  6.0191e-01
         53.    1.21e+08      54.165  5.2178e-01
         54.    8.94e+07      55.256  4.5232e-01
         55.    6.69e+07      56.336  3.9211e-01
         56.    5.33e+07      57.403  3.3991e-01
         57.    4.62e+07      58.458  2.9466e-01
         58.    4.32e+07      59.499  2.5543e-01
         59.    4.32e+07      60.526  2.2143e-01
         60.    4.56e+07      61.539  1.9195e-01
         61.    5.00e+07      62.538  1.6640e-01
         62.    5.62e+07      63.523  1.4425e-01
         63.    6.40e+07      64.494  1.2504e-01
         64.    7.34e+07      65.452  1.0840e-01
         65.    8.35e+07      66.396  9.3968e-02
         66.    9.35e+07      67.328  8.1459e-02
         67.    1.01e+08      68.248  7.0615e-02
         68.    1.03e+08      69.156  6.1215e-02
         69.    9.60e+07      70.055  5.3066e-02
         70.    7.89e+07      70.943  4.6001e-02
         71.    5.71e+07      71.823  3.9878e-02
         72.    3.75e+07      72.694  3.4569e-02
         73.    2.35e+07      73.558  2.9967e-02
         74.    1.44e+07      74.415  2.5978e-02
         75.    8.29e+06      75.265  2.2520e-02
         76.    3.88e+06      76.109  1.9522e-02
         77.    1.24e+06      76.948  1.6923e-02
         78.    2.80e+05      77.782  1.4670e-02
         79.    5.31e+04      78.610  1.2717e-02
         80.    1.02e+04      79.435  1.1024e-02
         81.    2.40e+03      80.255  9.5567e-03
         82.    8.37e+02      81.072  8.2845e-03
         83.    5.45e+02      81.886  7.1817e-03
