! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:35:18 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
     oh-lt12 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    7.11e-01       0.000  1.0132e+03
          1.    8.99e-01       1.253  8.7836e+02
          2.    1.12e+00       2.474  7.6143e+02
          3.    1.40e+00       3.665  6.6007e+02
          4.    1.73e+00       4.825  5.7220e+02
          5.    2.13e+00       5.956  4.9603e+02
          6.    2.63e+00       7.061  4.3000e+02
          7.    3.27e+00       8.137  3.7275e+02
          8.    4.06e+00       9.185  3.2313e+02
          9.    5.02e+00      10.204  2.8012e+02
         10.    6.17e+00      11.192  2.4283e+02
         11.    7.48e+00      12.149  2.1050e+02
         12.    8.94e+00      13.077  1.8248e+02
         13.    1.05e+01      13.977  1.5819e+02
         14.    1.22e+01      14.853  1.3713e+02
         15.    1.39e+01      15.712  1.1887e+02
         16.    1.55e+01      16.563  1.0305e+02
         17.    1.69e+01      17.415  8.9331e+01
         18.    1.76e+01      18.271  7.7439e+01
         19.    1.72e+01      19.132  6.7130e+01
         20.    1.57e+01      20.002  5.8194e+01
         21.    1.37e+01      20.882  5.0447e+01
         22.    1.16e+01      21.773  4.3731e+01
         23.    9.82e+00      22.674  3.7910e+01
         24.    8.37e+00      23.585  3.2863e+01
         25.    7.25e+00      24.507  2.8488e+01
         26.    6.42e+00      25.439  2.4696e+01
         27.    5.84e+00      26.384  2.1408e+01
         28.    5.51e+00      27.340  1.8558e+01
         29.    5.46e+00      28.307  1.6088e+01
         30.    5.72e+00      29.286  1.3946e+01
         31.    6.31e+00      30.275  1.2090e+01
         32.    7.21e+00      31.274  1.0480e+01
         33.    8.33e+00      32.283  9.0851e+00
         34.    9.62e+00      33.300  7.8756e+00
         35.    1.10e+01      34.328  6.8272e+00
         36.    1.25e+01      35.366  5.9184e+00
         37.    1.38e+01      36.414  5.1305e+00
         38.    1.48e+01      37.474  4.4475e+00
         39.    1.51e+01      38.544  3.8555e+00
         40.    1.48e+01      39.628  3.3422e+00
         41.    1.39e+01      40.725  2.8973e+00
         42.    1.27e+01      41.831  2.5116e+00
         43.    1.15e+01      42.946  2.1772e+00
         44.    1.03e+01      44.068  1.8874e+00
         45.    9.36e+00      45.194  1.6362e+00
         46.    8.54e+00      46.324  1.4183e+00
         47.    7.85e+00      47.455  1.2295e+00
         48.    7.27e+00      48.585  1.0659e+00
         49.    6.77e+00      49.712  9.2396e-01
         50.    6.34e+00      50.836  8.0096e-01
         51.    5.97e+00      51.953  6.9434e-01
         52.    5.65e+00      53.063  6.0191e-01
         53.    5.38e+00      54.165  5.2178e-01
         54.    5.15e+00      55.256  4.5232e-01
         55.    4.96e+00      56.336  3.9211e-01
         56.    4.82e+00      57.403  3.3991e-01
         57.    4.72e+00      58.458  2.9466e-01
         58.    4.65e+00      59.499  2.5543e-01
         59.    4.62e+00      60.526  2.2143e-01
         60.    4.64e+00      61.539  1.9195e-01
         61.    4.70e+00      62.538  1.6640e-01
         62.    4.83e+00      63.523  1.4425e-01
         63.    5.04e+00      64.494  1.2504e-01
         64.    5.32e+00      65.452  1.0840e-01
         65.    5.65e+00      66.396  9.3968e-02
         66.    6.00e+00      67.328  8.1459e-02
         67.    6.34e+00      68.248  7.0615e-02
         68.    6.63e+00      69.156  6.1215e-02
         69.    6.85e+00      70.055  5.3066e-02
         70.    6.97e+00      70.943  4.6001e-02
         71.    6.99e+00      71.823  3.9878e-02
         72.    6.89e+00      72.694  3.4569e-02
         73.    6.64e+00      73.558  2.9967e-02
         74.    6.15e+00      74.415  2.5978e-02
         75.    5.25e+00      75.265  2.2520e-02
         76.    3.94e+00      76.109  1.9522e-02
         77.    2.73e+00      76.948  1.6923e-02
         78.    1.98e+00      77.782  1.4670e-02
         79.    1.59e+00      78.610  1.2717e-02
         80.    1.37e+00      79.435  1.1024e-02
         81.    1.22e+00      80.255  9.5567e-03
         82.    1.03e+00      81.072  8.2845e-03
         83.    8.07e-01      81.886  7.1817e-03
         84.    5.99e-01      82.698  6.2256e-03
         85.    4.36e-01      83.508  5.3969e-03
         86.    3.20e-01      84.318  4.6784e-03
         87.    2.41e-01      85.127  4.0556e-03
         88.    1.87e-01      85.936  3.5157e-03
         89.    1.50e-01      86.744  3.0477e-03
         90.    1.24e-01      87.551  2.6420e-03
         91.    1.06e-01      88.356  2.2903e-03
         92.    9.25e-02      89.157  1.9854e-03
         93.    8.28e-02      89.953  1.7211e-03
         94.    7.57e-02      90.743  1.4920e-03
         95.    7.05e-02      91.527  1.2934e-03
         96.    6.66e-02      92.303  1.1212e-03
         97.    6.37e-02      93.073  9.7193e-04
         98.    6.16e-02      93.836  8.4255e-04
         99.    6.01e-02      94.594  7.3038e-04
        100.    5.91e-02      95.346  6.3315e-04
        101.    5.84e-02      96.096  5.4887e-04
        102.    5.82e-02      96.844  4.7580e-04
        103.    5.83e-02      97.592  4.1246e-04
        104.    5.87e-02      98.343  3.5755e-04
        105.    5.95e-02      99.098  3.0996e-04
        106.    6.07e-02      99.861  2.6869e-04
        107.    6.24e-02     100.634  2.3292e-04
        108.    6.48e-02     101.422  2.0192e-04
        109.    6.81e-02     102.227  1.7504e-04
        110.    7.26e-02     103.055  1.5174e-04
        111.    7.86e-02     103.911  1.3154e-04
        112.    8.67e-02     104.802  1.1403e-04
        113.    9.76e-02     105.737  9.8847e-05
        114.    1.12e-01     106.722  8.5688e-05
        115.    1.30e-01     107.765  7.4281e-05
        116.    1.49e-01     108.873  6.4393e-05
        117.    1.68e-01     110.048  5.5821e-05
        118.    1.81e-01     111.287  4.8390e-05
        119.    1.88e-01     112.588  4.1948e-05
        120.    1.84e-01     113.942  3.6364e-05

!=========================================================================================

          10/ 8/1995  | <- simulation date of this field, mm/dd/yy 

