! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Fri Sep 22 17:53:16 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v5s23a_30yr.small.nc
        o3 (vmr)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)         40.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    4.54e-08       0.000  1.0132e+03
          1.    4.46e-08       1.227  8.7836e+02
          2.    4.35e-08       2.429  7.6143e+02
          3.    4.37e-08       3.598  6.6007e+02
          4.    4.54e-08       4.731  5.7220e+02
          5.    4.88e-08       5.829  4.9603e+02
          6.    5.39e-08       6.895  4.3000e+02
          7.    6.13e-08       7.929  3.7275e+02
          8.    7.12e-08       8.933  3.2313e+02
          9.    8.49e-08       9.910  2.8012e+02
         10.    1.04e-07      10.864  2.4283e+02
         11.    1.31e-07      11.798  2.1050e+02
         12.    1.73e-07      12.715  1.8248e+02
         13.    2.40e-07      13.621  1.5819e+02
         14.    3.51e-07      14.519  1.3713e+02
         15.    5.29e-07      15.413  1.1887e+02
         16.    7.87e-07      16.307  1.0305e+02
         17.    1.11e-06      17.202  8.9331e+01
         18.    1.47e-06      18.100  7.7439e+01
         19.    1.88e-06      19.002  6.7130e+01
         20.    2.37e-06      19.907  5.8194e+01
         21.    2.92e-06      20.817  5.0447e+01
         22.    3.56e-06      21.731  4.3731e+01
         23.    4.28e-06      22.649  3.7910e+01
         24.    5.07e-06      23.572  3.2863e+01
         25.    5.89e-06      24.499  2.8488e+01
         26.    6.70e-06      25.431  2.4696e+01
         27.    7.44e-06      26.368  2.1408e+01
         28.    8.06e-06      27.311  1.8558e+01
         29.    8.50e-06      28.260  1.6088e+01
         30.    8.75e-06      29.216  1.3946e+01
         31.    8.82e-06      30.178  1.2090e+01
         32.    8.76e-06      31.147  1.0480e+01
         33.    8.60e-06      32.125  9.0851e+00
         34.    8.37e-06      33.111  7.8756e+00
         35.    8.08e-06      34.107  6.8272e+00
         36.    7.75e-06      35.113  5.9184e+00
         37.    7.36e-06      36.131  5.1305e+00
         38.    6.90e-06      37.160  4.4475e+00
         39.    6.39e-06      38.201  3.8555e+00
         40.    5.82e-06      39.254  3.3422e+00
         41.    5.25e-06      40.319  2.8973e+00
         42.    4.71e-06      41.395  2.5116e+00
         43.    4.23e-06      42.481  2.1772e+00
         44.    3.82e-06      43.576  1.8874e+00
         45.    3.47e-06      44.677  1.6362e+00
         46.    3.16e-06      45.783  1.4183e+00
         47.    2.90e-06      46.891  1.2295e+00
         48.    2.66e-06      47.999  1.0659e+00
         49.    2.45e-06      49.107  9.2396e-01
         50.    2.27e-06      50.212  8.0096e-01
         51.    2.10e-06      51.312  6.9434e-01
         52.    1.95e-06      52.406  6.0191e-01
         53.    1.82e-06      53.494  5.2178e-01
         54.    1.70e-06      54.573  4.5232e-01
         55.    1.60e-06      55.643  3.9211e-01
         56.    1.51e-06      56.702  3.3991e-01
         57.    1.44e-06      57.751  2.9466e-01
         58.    1.37e-06      58.788  2.5543e-01
         59.    1.32e-06      59.814  2.2143e-01
         60.    1.27e-06      60.827  1.9195e-01
         61.    1.23e-06      61.828  1.6640e-01
         62.    1.20e-06      62.817  1.4425e-01
         63.    1.16e-06      63.793  1.2504e-01
         64.    1.13e-06      64.757  1.0840e-01
         65.    1.10e-06      65.710  9.3968e-02
         66.    1.06e-06      66.650  8.1459e-02
         67.    1.02e-06      67.578  7.0615e-02
         68.    9.85e-07      68.495  6.1215e-02
         69.    9.40e-07      69.401  5.3066e-02
         70.    8.87e-07      70.296  4.6001e-02
         71.    8.27e-07      71.180  3.9878e-02
         72.    7.57e-07      72.053  3.4569e-02
         73.    6.80e-07      72.917  2.9967e-02
         74.    5.98e-07      73.770  2.5978e-02
         75.    5.15e-07      74.615  2.2520e-02
         76.    4.36e-07      75.452  1.9522e-02
         77.    3.65e-07      76.281  1.6923e-02
         78.    3.07e-07      77.104  1.4670e-02
         79.    2.58e-07      77.922  1.2717e-02
         80.    2.11e-07      78.735  1.1024e-02
         81.    1.69e-07      79.545  9.5567e-03
         82.    1.47e-07      80.351  8.2845e-03
         83.    1.62e-07      81.154  7.1817e-03
         84.    2.23e-07      81.955  6.2256e-03
         85.    3.21e-07      82.751  5.3969e-03
         86.    4.43e-07      83.541  4.6784e-03
         87.    5.78e-07      84.329  4.0556e-03
         88.    7.21e-07      85.112  3.5157e-03
         89.    8.65e-07      85.890  3.0477e-03
         90.    1.01e-06      86.663  2.6420e-03
         91.    1.15e-06      87.430  2.2903e-03
         92.    1.28e-06      88.192  1.9854e-03
         93.    1.40e-06      88.948  1.7211e-03
         94.    1.51e-06      89.698  1.4920e-03
